 m_bits Method  R_bits_per_token  utilization  empirical_entropy_rate_bits_per_token  N_tokens_mean  N_trials
     88   ACS2          2.390236     0.977010                               2.447277           37.3        10
     89   ACS1          2.729758     0.975322                               2.793444           33.9        10
     89 Discop          2.462908     0.880555                               2.785104           37.4        10
     89   ACS2          3.098319     0.986476                               3.136107           31.1        10
     90   ACS1          3.314368     0.981460                               3.377263           28.5        10
     90 Discop          2.420296     0.882335                               2.739435           38.7        10
     90   ACS2          2.892191     0.989062                               2.929683           32.5        10
     91   ACS1          2.774621     0.983876                               2.827418           35.5        10
     91 Discop          2.699092     0.876132                               3.063316           35.5        10
     91   ACS2          3.215832     0.983927                               3.277721           29.1        10
     92   ACS1          3.086519     0.965131                               3.194954           30.6        10
     92 Discop          3.196035     0.894877                               3.552701           32.2        10
     92   ACS2          3.387047     0.975533                               3.470714           28.7        10
     93   ACS1          3.140726     0.982374                               3.199104           31.5        10
     93 Discop          3.246117     0.875863                               3.699209           29.7        10
     93   ACS2          3.213190     0.968853                               3.313951           30.1        10
     94   ACS1          3.129004     0.974885                               3.198620           31.6        10
     94 Discop          2.436666     0.866145                               2.820689           39.6        10
     94   ACS2          3.001567     0.990257                               3.027955           33.2        10
     95   ACS1          3.424067     0.966665                               3.552839           28.8        10
     95 Discop          2.943324     0.878045                               3.339564           33.8        10
     95   ACS2          3.309064     0.978903                               3.383309           29.5        10
     96   ACS1          2.865483     0.984286                               2.910299           35.3        10
     96 Discop          2.521007     0.850537                               2.955599           39.1        10
     96   ACS2          3.082139     0.978309                               3.148911           32.6        10
     97   ACS1          3.377222     0.984409                               3.430460           31.2        10
     97 Discop          3.203387     0.882481                               3.617152           31.5        10
     97   ACS2          2.934406     0.992356                               2.956211           34.6        10
     98   ACS1          2.856115     0.984698                               2.900377           35.0        10
     98 Discop          2.815813     0.873065                               3.217990           35.5        10
     98   ACS2          2.851306     0.983120                               2.906077           36.4        10
     99   ACS1          2.587173     0.991682                               2.608511           38.9        10
     99 Discop          2.521518     0.876230                               2.877828           40.2        10
     99   ACS2          3.182279     0.990085                               3.207230           34.6        10
    100   ACS1          3.078215     0.970814                               3.180724           33.7        10
    100 Discop          2.610411     0.874280                               2.980674           39.8        10
    100   ACS2          2.983849     0.970237                               3.072137           36.7        10
    101   ACS1          2.636753     0.992899                               2.652869           39.6        10
    101 Discop          2.795597     0.883702                               3.139187           39.2        10
    101   ACS2          2.886450     0.984904                               2.930277           36.1        10
    102   ACS1          3.103026     0.981240                               3.169216           35.1        10
    102 Discop          2.772802     0.876466                               3.161735           38.8        10
    102   ACS2          3.071369     0.978994                               3.138272           34.0        10
    103   ACS1          2.921512     0.988826                               2.959865           39.2        10
    103 Discop          2.716168     0.888126                               3.054360           40.3        10
    103   ACS2          2.908625     0.981422                               2.955343           36.9        10
    104   ACS1          2.929130     0.989701                               2.961423           36.9        10
    104 Discop          2.901898     0.881286                               3.298214           37.5        10
    104   ACS2          2.936573     0.975277                               3.010188           37.0        10
    105   ACS1          2.776907     0.981899                               2.823890           39.0        10
    105 Discop          2.389136     0.876089                               2.731380           44.7        10
    105   ACS2          3.127122     0.989701                               3.162069           34.5        10
    106   ACS1          2.854187     0.983433                               2.899536           40.5        10
    106 Discop          3.002573     0.885606                               3.391522           36.5        10
    106   ACS2          2.981478     0.985852                               3.025207           36.2        10
    107   ACS1          3.086054     0.993608                               3.103885           35.8        10
    107 Discop          2.552066     0.886747                               2.870842           42.8        10
    107   ACS2          3.229193     0.978445                               3.303148           34.4        10
    108   ACS1          3.255912     0.969316                               3.374682           35.0        10
    108 Discop          2.707046     0.865799                               3.109756           42.8        10
    108   ACS2          3.039218     0.972182                               3.128539           36.5        10
    109   ACS1          3.130774     0.991748                               3.162748           37.5        10
    109 Discop          2.453779     0.883131                               2.781364           45.2        10
    109   ACS2          3.076521     0.986302                               3.120618           36.4        10
    110   ACS1          3.414711     0.982315                               3.476404           34.8        10
    110 Discop          2.930918     0.907907                               3.210996           39.7        10
    110   ACS2          2.870130     0.983764                               2.918723           39.8        10
    111   ACS1          3.219219     0.979230                               3.292185           35.9        10
    111 Discop          2.785885     0.893982                               3.101782           43.2        10
    111   ACS2          2.913031     0.969291                               3.000577           39.3        10
    112   ACS1          2.473484     0.984385                               2.511469           50.0        10
    112 Discop          2.900728     0.888202                               3.254547           40.1        10
    112   ACS2          3.266646     0.987322                               3.312914           36.6        10
